Compress	圧縮
Extract	解凍
Task Queue	タスクキュー
Logs	ログ
Settings	設定
Interface Language	表示言語
Choose the language used across the dashboard, logs, and actions.	ダッシュボード、ログ、操作全体で使用する言語を選択します。
Dark Mode	ダークモード
Light	ライト
Dark	ダーク
Add Files to Compress	圧縮するファイルを追加
Drop Archive to Extract	解凍する書庫をドロップ
Source files or folders	元のファイルまたはフォルダー
Source archive	元の書庫
Output Path	出力パス
Output directory	出力フォルダー
Archive Format	書庫形式
Compression Options	圧縮オプション
Extraction Options	解凍オプション
Compression Level	圧縮レベル
Compression Method	圧縮方式
Compression Memory	圧縮時の必要メモリ
Archive Password	書庫パスワード
Enter Password	パスワードを入力
Reenter Password	パスワードを再入力
Encrypt File Names	ファイル名を暗号化
Encryption Method	暗号化方式
Keep Folder Structure	フォルダー構造を保持
Overwrite existing files	既存ファイルを上書き
Skip existing files	既存ファイルをスキップ
Fail on conflicts	競合時に失敗
Dictionary Size	辞書サイズ
Word Size	ワードサイズ
Solid Block Size	ソリッドブロックサイズ
Split Volume Size	分割サイズ
Thread Count	スレッド数
Browse	参照
Select Files	ファイルを選択
Select Folders	フォルダーを選択
Refresh Contents	内容を再読み込み
File Contents	ファイル内容
View	表示
Remove	削除
Open Folder	フォルダーを開く
Cancel	キャンセル
Canceled	キャンセル済み
Canceling	キャンセル中
Canceling...	キャンセル中...
Done	完了
Waiting	待機中
Queued	待機中
Running	実行中
Completed	完了
Failed	失敗
Compression complete.	圧縮が完了しました。
Compression failed.	圧縮に失敗しました。
Compression canceled.	圧縮をキャンセルしました。
Compressing...	圧縮中...
FastZIP Background Compression	FastZIP バックグラウンド圧縮
FastZIP failed to start.	FastZIP の起動に失敗しました。
Failed to save language preference	言語設定の保存に失敗しました
No log entries yet.	まだログはありません。
Clear Logs	ログをクリア
System Logs	システムログ
Progress	進行状況
Speed	速度
Status	状態
Archive Preview	書庫プレビュー
Back to Parent Folder	親フォルダーへ戻る
Archive selected.	書庫を選択しました。
The archive could not be opened.	書庫を開けませんでした。
Format	形式
Preview	プレビュー
Output archive	出力書庫
Overwrite Mode	上書きモード
Stopping	停止中
Finalizing	最終処理中
Ready	準備完了
Other	その他
Presets	プリセット
Manage archives	書庫を管理
Archives	書庫
Action	操作
Actions	操作
Add compression task	圧縮タスクを追加
Add extraction task	解凍タスクを追加
Archive output path	書庫の出力パス
Archive scan failed.	書庫のスキャンに失敗しました。
Archive selection was canceled.	書庫の選択はキャンセルされました。
Choose Source Type	ソースの種類を選択
Close	閉じる
Delete	削除
Elapsed	経過時間
ETA	残り時間
File selection was canceled.	ファイルの選択はキャンセルされました。
Folder selection was canceled.	フォルダーの選択はキャンセルされました。
Library	ライブラリ
Name	名前
No split volumes	分割しない
Not available for this format	この形式では利用できません
Opening file picker	ファイル選択を開いています
Output folder updated.	出力フォルダーを更新しました。
Output path updated.	出力パスを更新しました。
Rerun	再実行
Run Next	次に実行
Scanning archive contents	書庫の内容をスキャンしています
Size	サイズ
Sources	ソース
This task is already canceling.	このタスクはすでにキャンセル中です。
Type	種類
Unknown error	不明なエラー
Waiting for source selection	ソースの選択を待っています
{count} Items	{count} 項目
{count} Tasks	{count} タスク
{count} Lines	{count} 行
{running} running · {queued} queued	{running} 実行中 · {queued} 待機中
{running} running	{running} 実行中
{queued} queued	{queued} 待機中
{first} and {rest} more	{first} と他 {rest} 件
1.44M (Floppy)	1.44M (フロッピー)
2.88M (Floppy)	2.88M (フロッピー)
650M (CD)	650M (CD)
700M (CD)	700M (CD)
4092M (FAT32)	4092M (FAT32)
4480M (DVD)	4480M (DVD)
8128M (DVD DL)	8128M (2層DVD)
23040M (Blu-ray)	23040M (Blu-ray)
BZip2 stream	BZip2 ストリーム
Codec default	コーデック既定値
Complete	完了
Fast	高速
Fastest	最速
GZip stream	GZip ストリーム
High (~64 MB+)	高 (~64 MB+)
Log history cleared.	ログ履歴を消去しました。
Low (< 16 MB)	低 (< 16 MB)
LZMA2 preset (~1 MB)	LZMA2 プリセット (~1 MB)
LZMA2 preset (~16 MB)	LZMA2 プリセット (~16 MB)
LZMA2 preset (~32 MB)	LZMA2 プリセット (~32 MB)
LZMA2 preset (~4 MB)	LZMA2 プリセット (~4 MB)
LZMA2 preset (~8 MB)	LZMA2 プリセット (~8 MB)
LZMA2 stream	LZMA2 ストリーム
Maximum	最大
Medium (~32 MB)	中 (~32 MB)
Modern Glass	モダングラス
Native formats loaded successfully.	ネイティブ形式の読み込みに成功しました。
Native Rust core	ネイティブ Rust コア
Native Rust UI	ネイティブ Rust UI
Next	次へ
Normal	標準
Preparing compression task...	圧縮タスクを準備しています...
RAR adapter	RAR アダプター
Store	保存
Tar stream	TAR ストリーム
Theme switched to Dark mode.	ダークモードに切り替えました。
Theme switched to Light mode.	ライトモードに切り替えました。
Ultra	ウルトラ
Very low (< 8 MB)	非常に低い (< 8 MB)
Wait	待機
XZ stream	XZ ストリーム
{count} item(s) excluded from compression.	{count} 個の項目を圧縮から除外しました。
{count} source(s) ready for compression.	{count} 個のソースが圧縮の準備完了です。
{count} source(s) remain for compression.	圧縮対象は残り {count} 個です。
Added dropped sources. {count} source(s) ready for compression.	ドラッグされたソースを追加しました。{count} 個のソースが圧縮の準備完了です。
Archive selection failed: {error}	書庫の選択に失敗しました: {error}
Cancel requested for task #{task_id}.	タスク #{task_id} のキャンセルを要求しました。
Canceled queued task #{task_id}.	キュー内のタスク #{task_id} をキャンセルしました。
Canceling task #{task_id}...	タスク #{task_id} をキャンセルしています...
Compress task #{task_id} added to queue.	圧縮タスク #{task_id} をキューに追加しました。
Compression finished for task #{task_id}: {files} file(s), {dirs} folder(s), output {output_path}.	圧縮タスク #{task_id} が完了しました: {files} 個のファイル、{dirs} 個のフォルダー、出力 {output_path}。
