Compress	Сжать
Extract	Распаковать
Task Queue	Очередь задач
Logs	Журнал
Settings	Настройки
Interface Language	Язык интерфейса
Choose the language used across the dashboard, logs, and actions.	Выберите язык для интерфейса, журнала и действий.
Dark Mode	Тёмный режим
Light	Светлая
Dark	Тёмная
Add Files to Compress	Добавить файлы для сжатия
Drop Archive to Extract	Перетащите архив для распаковки
Source files or folders	Исходные файлы или папки
Source archive	Исходный архив
Output Path	Путь вывода
Output directory	Папка вывода
Archive Format	Формат архива
Compression Options	Параметры сжатия
Extraction Options	Параметры распаковки
Compression Level	Уровень сжатия
Compression Method	Метод сжатия
Compression Memory	Требуемая память
Archive Password	Пароль архива
Enter Password	Введите пароль
Reenter Password	Повторите пароль
Encrypt File Names	Шифровать имена файлов
Encryption Method	Метод шифрования
Keep Folder Structure	Сохранять структуру папок
Overwrite existing files	Перезаписывать существующие файлы
Skip existing files	Пропускать существующие файлы
Fail on conflicts	Завершать при конфликтах
Dictionary Size	Размер словаря
Word Size	Размер слова
Solid Block Size	Размер solid-блока
Split Volume Size	Размер тома
Thread Count	Число потоков
Browse	Обзор
Select Files	Выбрать файлы
Select Folders	Выбрать папки
Refresh Contents	Обновить содержимое
File Contents	Содержимое файлов
View	Просмотр
Remove	Удалить
Open Folder	Открыть папку
Cancel	Отмена
Canceled	Отменено
Canceling	Отмена
Canceling...	Отмена...
Done	Готово
Waiting	Ожидание
Queued	В очереди
Running	Выполняется
Completed	Завершено
Failed	Ошибка
Compression complete.	Сжатие завершено.
Compression failed.	Ошибка сжатия.
Compression canceled.	Сжатие отменено.
Compressing...	Сжатие...
FastZIP Background Compression	Фоновое сжатие FastZIP
FastZIP failed to start.	Не удалось запустить FastZIP.
Failed to save language preference	Не удалось сохранить язык интерфейса
No log entries yet.	Записей журнала пока нет.
Clear Logs	Очистить журнал
System Logs	Системный журнал
Progress	Прогресс
Speed	Скорость
Status	Состояние
Archive Preview	Предпросмотр архива
Back to Parent Folder	Вернуться в родительскую папку
Archive selected.	Архив выбран.
The archive could not be opened.	Не удалось открыть архив.
Format	Формат
Preview	Предпросмотр
Output archive	Выходной архив
Overwrite Mode	Режим перезаписи
Stopping	Остановка
Finalizing	Завершение
Ready	Готово
Other	Другое
Presets	Предустановки
Manage archives	Управление архивами
Archives	Архивы
Action	Действие
Actions	Действия
Add compression task	Добавить задачу сжатия
Add extraction task	Добавить задачу распаковки
Archive output path	Путь вывода архива
Archive scan failed.	Не удалось просканировать архив.
Archive selection was canceled.	Выбор архива отменён.
Choose Source Type	Выберите тип источника
Close	Закрыть
Delete	Удалить
Elapsed	Прошло
ETA	Осталось
File selection was canceled.	Выбор файлов отменён.
Folder selection was canceled.	Выбор папок отменён.
Library	Библиотека
Name	Имя
No split volumes	Без разделения на тома
Not available for this format	Недоступно для этого формата
Opening file picker	Открывается выбор файлов
Output folder updated.	Папка вывода обновлена.
Output path updated.	Путь вывода обновлён.
Rerun	Повторить
Run Next	Запустить следующей
Scanning archive contents	Сканирование содержимого архива
Size	Размер
Sources	Источники
This task is already canceling.	Эта задача уже отменяется.
Type	Тип
Unknown error	Неизвестная ошибка
Waiting for source selection	Ожидание выбора источника
{count} Items	{count} элементов
{count} Tasks	{count} задач
{count} Lines	{count} строк
{running} running · {queued} queued	{running} выполняется · {queued} в очереди
{running} running	{running} выполняется
{queued} queued	{queued} в очереди
{first} and {rest} more	{first} и ещё {rest}
1.44M (Floppy)	1.44M (Дискета)
2.88M (Floppy)	2.88M (Дискета)
650M (CD)	650M (CD)
700M (CD)	700M (CD)
4092M (FAT32)	4092M (FAT32)
4480M (DVD)	4480M (DVD)
8128M (DVD DL)	8128M (DVD DL)
23040M (Blu-ray)	23040M (Blu-ray)
BZip2 stream	Поток BZip2
Codec default	Значение кодека по умолчанию
Complete	Готово
Fast	Быстро
Fastest	Максимальная скорость
GZip stream	Поток GZip
High (~64 MB+)	Высоко (~64 MB+)
Log history cleared.	История журнала очищена.
Low (< 16 MB)	Низко (< 16 MB)
LZMA2 preset (~1 MB)	Профиль LZMA2 (~1 MB)
LZMA2 preset (~16 MB)	Профиль LZMA2 (~16 MB)
LZMA2 preset (~32 MB)	Профиль LZMA2 (~32 MB)
LZMA2 preset (~4 MB)	Профиль LZMA2 (~4 MB)
LZMA2 preset (~8 MB)	Профиль LZMA2 (~8 MB)
LZMA2 stream	Поток LZMA2
Maximum	Максимум
Medium (~32 MB)	Средне (~32 MB)
Modern Glass	Современное стекло
Native formats loaded successfully.	Нативные форматы успешно загружены.
