Compress	Comprimi
Extract	Estrai
Task Queue	Coda attività
Logs	Registri
Settings	Impostazioni
Interface Language	Lingua dell'interfaccia
Choose the language used across the dashboard, logs, and actions.	Scegli la lingua usata nella dashboard, nei registri e nelle azioni.
Dark Mode	Modalità scura
Light	Chiaro
Dark	Scuro
Add Files to Compress	Aggiungi file da comprimere
Drop Archive to Extract	Trascina un archivio da estrarre
Source files or folders	File o cartelle sorgente
Source archive	Archivio sorgente
Output Path	Percorso di output
Output directory	Cartella di output
Archive Format	Formato archivio
Compression Options	Opzioni di compressione
Extraction Options	Opzioni di estrazione
Compression Level	Livello di compressione
Compression Method	Metodo di compressione
Compression Memory	Memoria richiesta
Archive Password	Password archivio
Enter Password	Inserisci password
Reenter Password	Reinserisci password
Encrypt File Names	Cifra i nomi dei file
Encryption Method	Metodo di cifratura
Keep Folder Structure	Mantieni struttura cartelle
Overwrite existing files	Sovrascrivi file esistenti
Skip existing files	Salta file esistenti
Fail on conflicts	Interrompi in caso di conflitto
Dictionary Size	Dimensione dizionario
Word Size	Dimensione parola
Solid Block Size	Dimensione blocco solido
Split Volume Size	Dimensione suddivisione volumi
Thread Count	Numero di thread
Browse	Sfoglia
Select Files	Seleziona file
Select Folders	Seleziona cartelle
Refresh Contents	Aggiorna contenuto
File Contents	Contenuto file
View	Visualizza
Remove	Rimuovi
Open Folder	Apri cartella
Cancel	Annulla
Canceled	Annullato
Canceling	Annullamento
Canceling...	Annullamento...
Done	Fatto
Waiting	In attesa
Queued	In coda
Running	In esecuzione
Completed	Completato
Failed	Errore
Compression complete.	Compressione completata.
Compression failed.	Compressione non riuscita.
Compression canceled.	Compressione annullata.
Compressing...	Compressione in corso...
FastZIP Background Compression	Compressione FastZIP in background
FastZIP failed to start.	Impossibile avviare FastZIP.
Failed to save language preference	Impossibile salvare la preferenza della lingua
No log entries yet.	Nessun registro disponibile.
Clear Logs	Cancella registri
System Logs	Registri di sistema
Progress	Avanzamento
Speed	Velocità
Status	Stato
Archive Preview	Anteprima archivio
Back to Parent Folder	Torna alla cartella superiore
Archive selected.	Archivio selezionato.
The archive could not be opened.	L'archivio non può essere aperto.
Format	Formato
Preview	Anteprima
Output archive	Archivio di output
Overwrite Mode	Modalità sovrascrittura
Stopping	Arresto in corso
Finalizing	Finalizzazione
Ready	Pronto
Other	Altro
Presets	Preimpostazioni
Manage archives	Gestisci archivi
Archives	Archivi
Action	Azione
Actions	Azioni
Add compression task	Aggiungi attività di compressione
Add extraction task	Aggiungi attività di estrazione
Archive output path	Percorso di output dell'archivio
Archive scan failed.	Scansione dell'archivio non riuscita.
Archive selection was canceled.	La selezione dell'archivio è stata annullata.
Choose Source Type	Scegli il tipo di origine
Close	Chiudi
Delete	Elimina
Elapsed	Tempo trascorso
ETA	Tempo stimato
File selection was canceled.	La selezione dei file è stata annullata.
Folder selection was canceled.	La selezione delle cartelle è stata annullata.
Library	Libreria
Name	Nome
No split volumes	Nessun volume suddiviso
Not available for this format	Non disponibile per questo formato
Opening file picker	Apertura selettore file
Output folder updated.	Cartella di output aggiornata.
Output path updated.	Percorso di output aggiornato.
Rerun	Riesegui
Run Next	Esegui dopo
Scanning archive contents	Scansione del contenuto dell'archivio
Size	Dimensione
Sources	Origini
This task is already canceling.	Questa attività è già in annullamento.
Type	Tipo
Unknown error	Errore sconosciuto
Waiting for source selection	In attesa della selezione dell'origine
{count} Items	{count} elementi
{count} Tasks	{count} attività
{count} Lines	{count} righe
{running} running · {queued} queued	{running} in esecuzione · {queued} in coda
{running} running	{running} in esecuzione
{queued} queued	{queued} in coda
{first} and {rest} more	{first} e altri {rest}
1.44M (Floppy)	1.44M (Floppy)
2.88M (Floppy)	2.88M (Floppy)
650M (CD)	650M (CD)
700M (CD)	700M (CD)
4092M (FAT32)	4092M (FAT32)
4480M (DVD)	4480M (DVD)
8128M (DVD DL)	8128M (DVD DL)
23040M (Blu-ray)	23040M (Blu-ray)
BZip2 stream	Flusso BZip2
Codec default	Valore predefinito del codec
Complete	Completo
Fast	Veloce
Fastest	Velocissimo
GZip stream	Flusso GZip
High (~64 MB+)	Alto (~64 MB+)
Log history cleared.	Cronologia registri cancellata.
Low (< 16 MB)	Basso (< 16 MB)
LZMA2 preset (~1 MB)	Preset LZMA2 (~1 MB)
LZMA2 preset (~16 MB)	Preset LZMA2 (~16 MB)
LZMA2 preset (~32 MB)	Preset LZMA2 (~32 MB)
LZMA2 preset (~4 MB)	Preset LZMA2 (~4 MB)
LZMA2 preset (~8 MB)	Preset LZMA2 (~8 MB)
LZMA2 stream	Flusso LZMA2
Maximum	Massimo
Medium (~32 MB)	Medio (~32 MB)
Modern Glass	Vetro moderno
Native formats loaded successfully.	Formati nativi caricati correttamente.
Native Rust core	Core Rust nativo
Native Rust UI	Interfaccia Rust nativa
Next	Successivo
Normal	Normale
Preparing compression task...	Preparazione attività di compressione...
RAR adapter	Adattatore RAR
Store	Archivia
Tar stream	Flusso TAR
Theme switched to Dark mode.	Passato alla modalità scura.
Theme switched to Light mode.	Passato alla modalità chiara.
Ultra	Ultra
Very low (< 8 MB)	Molto basso (< 8 MB)
Wait	Attendi
XZ stream	Flusso XZ
{count} item(s) excluded from compression.	{count} elemento/i esclusi dalla compressione.
{count} source(s) ready for compression.	{count} origine/i pronti per la compressione.
{count} source(s) remain for compression.	Rimangono {count} origine/i per la compressione.
Added dropped sources. {count} source(s) ready for compression.	Origini trascinate aggiunte. {count} origine/i pronti per la compressione.
Archive selection failed: {error}	Selezione archivio non riuscita: {error}
Cancel requested for task #{task_id}.	Annullamento richiesto per l'attività #{task_id}.
Canceled queued task #{task_id}.	Attività in coda #{task_id} annullata.
Canceling task #{task_id}...	Annullamento attività #{task_id}...
Compress task #{task_id} added to queue.	Attività di compressione #{task_id} aggiunta alla coda.
Compression finished for task #{task_id}: {files} file(s), {dirs} folder(s), output {output_path}.	Compressione completata per l'attività #{task_id}: {files} file, {dirs} cartelle, output {output_path}.
Compression format switched to {format}.	Il formato di compressione è stato cambiato in {format}.
Compression task #{task_id} completed.	Attività di compressione #{task_id} completata.
Excluded from compression: {path}. {count} item(s) excluded.	Escluso dalla compressione: {path}. {count} elemento/i esclusi.
Extract task #{task_id} added to queue.	Attività di estrazione #{task_id} aggiunta alla coda.
Extraction finished for task #{task_id}: {files} file(s), {dirs} directorie(s).	Estrazione completata per l'attività #{task_id}: {files} file, {dirs} cartelle.
