Compress	Compactar
Extract	Extrair
Task Queue	Fila de tarefas
Logs	Logs
Settings	Configurações
Interface Language	Idioma da interface
Choose the language used across the dashboard, logs, and actions.	Escolha o idioma usado no painel, nos logs e nas ações.
Dark Mode	Modo escuro
Light	Claro
Dark	Escuro
Add Files to Compress	Adicionar arquivos para compactar
Drop Archive to Extract	Solte um arquivo para extrair
Source files or folders	Arquivos ou pastas de origem
Source archive	Arquivo de origem
Output Path	Caminho de saída
Output directory	Pasta de saída
Archive Format	Formato do arquivo
Compression Options	Opções de compactação
Extraction Options	Opções de extração
Compression Level	Nível de compactação
Compression Method	Método de compactação
Compression Memory	Memória necessária
Archive Password	Senha do arquivo
Enter Password	Digite a senha
Reenter Password	Redigite a senha
Encrypt File Names	Criptografar nomes de arquivos
Encryption Method	Método de criptografia
Keep Folder Structure	Manter estrutura de pastas
Overwrite existing files	Sobrescrever arquivos existentes
Skip existing files	Ignorar arquivos existentes
Fail on conflicts	Falhar em conflitos
Dictionary Size	Tamanho do dicionário
Word Size	Tamanho da palavra
Solid Block Size	Tamanho do bloco sólido
Split Volume Size	Tamanho do volume dividido
Thread Count	Número de threads
Browse	Procurar
Select Files	Selecionar arquivos
Select Folders	Selecionar pastas
Refresh Contents	Atualizar conteúdo
File Contents	Conteúdo do arquivo
View	Visualizar
Remove	Remover
Open Folder	Abrir pasta
Cancel	Cancelar
Canceled	Cancelado
Canceling	Cancelando
Canceling...	Cancelando...
Done	Concluído
Waiting	Aguardando
Queued	Na fila
Running	Em execução
Completed	Concluído
Failed	Falhou
Compression complete.	Compactação concluída.
Compression failed.	Falha na compactação.
Compression canceled.	Compactação cancelada.
Compressing...	Compactando...
FastZIP Background Compression	Compactação em segundo plano do FastZIP
FastZIP failed to start.	Falha ao iniciar o FastZIP.
Failed to save language preference	Falha ao salvar a preferência de idioma
No log entries yet.	Ainda não há logs.
Clear Logs	Limpar logs
System Logs	Logs do sistema
Progress	Progresso
Speed	Velocidade
Status	Status
Archive Preview	Pré-visualização do arquivo
Back to Parent Folder	Voltar para a pasta pai
Archive selected.	Arquivo selecionado.
The archive could not be opened.	Não foi possível abrir o arquivo.
Format	Formato
Preview	Pré-visualização
Output archive	Arquivo de saída
Overwrite Mode	Modo de sobrescrita
Stopping	Parando
Finalizing	Finalizando
Ready	Pronto
Other	Outro
Presets	Predefinições
Manage archives	Gerenciar arquivos
Archives	Arquivos
Action	Ação
Actions	Ações
Add compression task	Adicionar tarefa de compactação
Add extraction task	Adicionar tarefa de extração
Archive output path	Caminho de saída do arquivo
Archive scan failed.	A verificação do arquivo falhou.
Archive selection was canceled.	A seleção do arquivo foi cancelada.
Choose Source Type	Escolher tipo de origem
Close	Fechar
Delete	Excluir
Elapsed	Tempo decorrido
ETA	Tempo restante
File selection was canceled.	A seleção de arquivos foi cancelada.
Folder selection was canceled.	A seleção de pastas foi cancelada.
Library	Biblioteca
Name	Nome
No split volumes	Sem volumes divididos
Not available for this format	Não disponível para este formato
Opening file picker	Abrindo seletor de arquivos
Output folder updated.	Pasta de saída atualizada.
Output path updated.	Caminho de saída atualizado.
Rerun	Executar novamente
Run Next	Executar em seguida
Scanning archive contents	Verificando o conteúdo do arquivo
Size	Tamanho
Sources	Origens
This task is already canceling.	Esta tarefa já está sendo cancelada.
Type	Tipo
Unknown error	Erro desconhecido
Waiting for source selection	Aguardando seleção de origem
{count} Items	{count} itens
{count} Tasks	{count} tarefas
{count} Lines	{count} linhas
{running} running · {queued} queued	{running} em execução · {queued} na fila
{running} running	{running} em execução
{queued} queued	{queued} na fila
{first} and {rest} more	{first} e mais {rest}
1.44M (Floppy)	1.44M (Disquete)
2.88M (Floppy)	2.88M (Disquete)
650M (CD)	650M (CD)
700M (CD)	700M (CD)
4092M (FAT32)	4092M (FAT32)
4480M (DVD)	4480M (DVD)
8128M (DVD DL)	8128M (DVD DL)
23040M (Blu-ray)	23040M (Blu-ray)
BZip2 stream	Fluxo BZip2
Codec default	Padrão do codec
Complete	Concluído
Fast	Rápido
Fastest	Mais rápido
GZip stream	Fluxo GZip
High (~64 MB+)	Alto (~64 MB+)
Log history cleared.	Histórico de logs limpo.
Low (< 16 MB)	Baixo (< 16 MB)
LZMA2 preset (~1 MB)	Predefinição LZMA2 (~1 MB)
LZMA2 preset (~16 MB)	Predefinição LZMA2 (~16 MB)
LZMA2 preset (~32 MB)	Predefinição LZMA2 (~32 MB)
LZMA2 preset (~4 MB)	Predefinição LZMA2 (~4 MB)
LZMA2 preset (~8 MB)	Predefinição LZMA2 (~8 MB)
LZMA2 stream	Fluxo LZMA2
Maximum	Máximo
Medium (~32 MB)	Médio (~32 MB)
Modern Glass	Vidro moderno
Native formats loaded successfully.	Formatos nativos carregados com sucesso.
Native Rust core	Core Rust nativo
Native Rust UI	Interface Rust nativa
Next	Próximo
Normal	Normal
Preparing compression task...	Preparando tarefa de compactação...
RAR adapter	Adaptador RAR
Store	Armazenar
Tar stream	Fluxo TAR
Theme switched to Dark mode.	Alternado para o modo escuro.
Theme switched to Light mode.	Alternado para o modo claro.
Ultra	Ultra
Very low (< 8 MB)	Muito baixo (< 8 MB)
Wait	Aguardar
XZ stream	Fluxo XZ
{count} item(s) excluded from compression.	{count} item(ns) excluídos da compactação.
{count} source(s) ready for compression.	{count} origem(ns) prontas para compactação.
{count} source(s) remain for compression.	Restam {count} origem(ns) para compactação.
Added dropped sources. {count} source(s) ready for compression.	Origens soltas adicionadas. {count} origem(ns) prontas para compactação.
Archive selection failed: {error}	Falha ao selecionar o arquivo: {error}
Cancel requested for task #{task_id}.	Cancelamento solicitado para a tarefa #{task_id}.
Canceled queued task #{task_id}.	Tarefa na fila #{task_id} cancelada.
Canceling task #{task_id}...	Cancelando tarefa #{task_id}...
Compress task #{task_id} added to queue.	Tarefa de compactação #{task_id} adicionada à fila.
Compression finished for task #{task_id}: {files} file(s), {dirs} folder(s), output {output_path}.	Compactação concluída para a tarefa #{task_id}: {files} arquivo(s), {dirs} pasta(s), saída {output_path}.
Compression format switched to {format}.	O formato de compactação foi alterado para {format}.
Compression task #{task_id} completed.	Tarefa de compactação #{task_id} concluída.
Excluded from compression: {path}. {count} item(s) excluded.	Excluído da compactação: {path}. {count} item(ns) excluídos.
Extract task #{task_id} added to queue.	Tarefa de extração #{task_id} adicionada à fila.
Extraction finished for task #{task_id}: {files} file(s), {dirs} directorie(s).	Extração concluída para a tarefa #{task_id}: {files} arquivo(s), {dirs} pasta(s).
Extraction task #{task_id} completed.	Tarefa de extração #{task_id} concluída.
Failed to inspect archive size: {error}	Falha ao inspecionar o tamanho do arquivo: {error}
Failed to inspect source size: {error}	Falha ao inspecionar o tamanho da origem: {error}
Failed to open {path}: {error}	Falha ao abrir {path}: {error}
High (~64 MB+ x {thread_count} threads)	Alto (~64 MB+ x {thread_count} threads)
High (64 MB+ x up to {thread_count} workers)	Alto (64 MB+ x até {thread_count} workers)
Invalid split volume size `{value}`: {error}	Tamanho de volume `{value}` inválido: {error}
Loaded {count} archive entries.	{count} entradas do arquivo carregadas.
Loaded {count} entries with {backend}.	{count} entradas carregadas com {backend}.
Low to medium (< 16 MB x {thread_count} workers)	Baixo a médio (< 16 MB x {thread_count} workers)
Medium (~32 MB x up to {thread_count} workers)	Médio (~32 MB x até {thread_count} workers)
Medium (32-64 MB x up to {thread_count} workers)	Médio (32-64 MB x até {thread_count} workers)
Open failed: {error}	Falha ao abrir: {error}
Preview failed: {error}	Falha na pré-visualização: {error}
Queued compress task #{task_id}: {format}, {sources} source(s), {excluded} exclusion(s) -> {output_path}	Tarefa de compactação #{task_id} enfileirada: {format}, {sources} origem(ns), {excluded} exclusão(ões) -> {output_path}
Queued extract task #{task_id}: {archive_path} -> {output_dir}	Tarefa de extração #{task_id} enfileirada: {archive_path} -> {output_dir}
Removed compression source: {path}. {count} source(s) remain.	Origem de compactação removida: {path}. Restam {count} origem(ns).
Removed task #{task_id} from the queue.	Tarefa #{task_id} removida da fila.
Scan failed: {message}	Falha na verificação: {message}
Selected {count} compression source(s).	{count} origem(ns) de compactação selecionadas.
Selected archive: {archive_path}	Arquivo selecionado: {archive_path}
Started compress task #{task_id} -> {output_path}	Tarefa de compactação #{task_id} iniciada -> {output_path}
Started extract task #{task_id} -> {output_dir}	Tarefa de extração #{task_id} iniciada -> {output_dir}
Task #{task_id} canceled.	Tarefa #{task_id} cancelada.
Task #{task_id} failed: {message}	Tarefa #{task_id} falhou: {message}
Task #{task_id} failed.	Tarefa #{task_id} falhou.
